# Output\output_current_1440.csv run at 2000-01-02 00:00:00 WET on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
TR1,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
LINE1,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE2,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE3,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE4,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE5,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE6,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE7,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE8,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE9,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE10,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE11,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE12,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE13,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE14,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE15,0.000000,3.497167,0.000000,3.289906,0.000000,1.579026
LINE16,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE17,0.000000,3.902059,0.000000,3.179080,0.000000,1.583119
LINE18,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE19,0.000000,3.760162,0.000000,3.172159,0.000000,1.578730
LINE20,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE21,0.000000,3.811399,0.000000,3.216329,0.000000,1.572086
LINE22,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE23,0.000000,-1.177504,0.000000,3.340137,0.000000,1.568043
LINE24,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE25,0.000000,-1.297229,0.000000,3.314056,0.000000,1.568213
LINE26,1.599709,-0.841478,0.000000,0.102580,0.000000,1.506446
LINE27,9.925073,-0.841136,15.649325,3.347770,11.579055,1.252475
LINE28,0.000000,-1.096382,0.000000,3.306649,0.000000,1.570762
LINE29,0.150359,-0.841488,0.000000,-1.040493,0.000000,1.519382
LINE30,1.449350,-0.841478,0.000000,0.106476,0.000000,1.506014
LINE31,9.925073,-0.841136,15.649325,3.347770,11.579055,1.252475
LINE32,0.000000,-1.047179,0.000000,3.237284,0.000000,1.575820
LINE33,0.150359,-0.841488,0.000000,3.593364,0.000000,-1.500642
LINE34,1.449350,-0.841478,0.000000,0.024322,0.000000,1.456506
LINE35,0.000000,2.361930,0.472362,3.347239,0.000000,1.698817
