# file...... Output_EVs_20kW\output_power.csv
# date...... Tue Mar 01 17:05:07 2016
# user...... Gregorio
# host...... (null)
# target.... transformer 1031
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-01-01 00:01:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:02:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:03:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:04:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:05:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:06:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:07:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:08:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:09:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:10:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:11:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:12:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:13:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:14:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:15:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:16:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:17:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:18:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:19:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:20:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:21:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:22:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:23:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:24:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
2000-01-01 00:25:00 EST,+1.16979e+006,+320742,+481077,+85290.7,+458967,+160684,+229749,+74767.5
