# Output_EVs_4kW\output_current_1440.csv run at 2000-01-02 00:00:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
TR1,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
LINE1,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE2,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE3,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE4,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE5,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE6,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE7,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE8,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE9,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE10,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE11,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE12,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE13,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE14,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE15,0.000000,1.082217,0.000000,2.545323,0.000000,1.574421
LINE16,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE17,0.000000,1.545864,0.000000,2.473160,0.000000,4.665976
LINE18,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE19,0.000000,2.133867,0.000000,1.545864,0.000000,4.695269
LINE20,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE21,0.000000,1.165358,0.000000,1.545864,0.000000,4.648902
LINE22,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE23,0.000000,0.760466,0.000000,1.545864,0.000000,4.548706
LINE24,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE25,0.000000,0.333839,0.000000,1.545864,0.000000,4.532460
LINE26,1.599709,-0.841478,0.000000,-0.566780,0.000000,1.481919
LINE27,9.925073,-0.841136,15.649325,3.347770,11.579055,1.252475
LINE28,0.000000,0.438716,0.000000,2.653013,0.000000,3.116661
LINE29,0.150359,-0.841488,0.000000,-1.325519,0.000000,-1.503941
LINE30,1.449350,-0.841478,0.000000,-0.582010,0.000000,1.476015
LINE31,9.925073,-0.841136,15.649325,3.347770,11.579055,1.252475
LINE32,0.000000,-0.190081,0.000000,3.438411,0.000000,3.116661
LINE33,0.150359,-0.841488,0.000000,2.938018,0.000000,1.483238
LINE34,1.449350,-0.841478,0.000000,-0.392667,0.000000,1.586155
LINE35,0.000000,0.971678,0.472362,3.347239,0.000000,-1.482460
