# Output_case2\output_current_566.csv run at 2000-01-01 09:26:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,13.671021,-0.353778,11.377535,3.784598,12.141831,1.882094
TR1,13.671021,-0.353778,11.377535,3.784598,12.141831,1.882094
LINE1,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE2,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE3,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE4,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE5,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE6,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE7,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE8,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE9,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE10,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE11,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE12,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE13,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE14,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE15,0.000000,3.045353,0.000000,-0.743762,0.000000,1.572847
LINE16,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE17,0.000000,3.116661,0.000000,-0.024932,0.000000,1.582307
LINE18,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE19,0.000000,3.054242,0.000000,0.058209,0.000000,1.592705
LINE20,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE21,0.000000,2.736154,0.000000,0.220047,0.000000,1.577104
LINE22,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE23,0.000000,2.653013,0.000000,0.220047,0.000000,1.577104
LINE24,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE25,0.000000,3.116661,0.000000,-0.668433,0.000000,1.577104
LINE26,34.241997,-0.851861,0.000000,3.358274,0.000000,1.290346
LINE27,344.258671,-0.837456,340.552925,3.332485,261.249680,1.248880
LINE28,0.000000,3.580308,0.000000,-0.488580,0.000000,1.571900
LINE29,17.120053,-0.851874,0.000000,3.452150,0.000000,1.617873
LINE30,17.121944,-0.851847,0.000000,3.333957,0.000000,1.263551
LINE31,344.258671,-0.837456,340.552925,3.332485,261.249680,1.248880
LINE32,0.000000,-0.810330,0.000000,-0.668433,0.000000,1.572644
LINE33,17.120053,-0.851874,0.000000,2.928245,0.000000,2.559400
LINE34,17.121944,-0.851847,0.000000,2.993432,0.000000,0.322745
LINE35,0.000000,-0.918383,34.489938,3.333816,0.000000,1.898532
LINE36,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE37,0.000000,-1.007726,0.000000,-0.405438,0.000000,1.573502
LINE38,17.121944,-0.851847,0.000000,3.738577,0.000000,1.485221
LINE39,0.000000,-0.889877,17.245171,3.333819,0.000000,1.734979
LINE40,0.000000,2.846957,17.244767,3.333814,0.000000,-1.537059
LINE41,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE42,0.000000,1.056800,0.000000,-0.845778,0.000000,-1.417106
LINE43,0.000000,-0.810330,0.000000,-0.810330,0.000000,1.565393
LINE44,17.121944,-0.851847,0.000000,3.693273,0.000000,-1.463863
LINE45,0.000000,-0.951202,17.245171,3.333819,0.000000,1.701125
LINE46,0.000000,3.525411,17.244767,3.333814,0.000000,1.553620
LINE47,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE48,0.000000,1.087312,0.000000,-0.407814,0.000000,-1.394313
LINE49,0.000000,-0.668433,0.000000,-0.810330,0.000000,1.561488
LINE50,17.121944,-0.851847,0.000000,4.069570,0.000000,-1.472174
LINE51,0.000000,3.411410,17.245171,3.333819,0.000000,4.569938
LINE52,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE53,0.000000,1.589977,0.000000,-0.727558,0.000000,1.776044
LINE54,0.000000,1.041596,0.000000,-0.270239,0.000000,4.081782
LINE55,0.000000,-0.269911,0.000000,-0.488580,0.000000,1.577104
LINE56,17.121944,-0.851847,0.000000,-1.215755,0.000000,4.695875
LINE57,0.000000,3.706707,17.245171,3.333819,0.000000,4.614601
LINE58,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE59,0.000000,1.675718,0.000000,-0.162562,0.000000,1.710695
LINE60,0.000000,0.910467,0.000000,-0.243074,0.000000,1.041861
LINE61,0.000000,-0.383703,0.000000,-0.668433,0.000000,1.553677
LINE62,17.121944,-0.851847,0.000000,-0.429994,0.000000,-1.407234
LINE63,0.000000,2.655538,17.245171,3.333819,0.000000,4.541817
LINE64,309.208926,-0.836518,306.063021,3.332334,261.249680,1.248880
LINE65,35.051083,-0.845738,0.000000,3.697741,0.000000,-1.524867
LINE66,0.000000,2.037821,0.000000,0.524692,0.000000,2.809786
LINE67,0.000000,0.969797,0.000000,-0.336087,0.000000,-0.705209
LINE68,0.000000,-0.149287,0.000000,-1.215222,0.000000,1.558364
LINE69,17.121944,-0.851847,0.000000,3.543919,0.000000,-1.523620
LINE70,0.000000,3.007673,17.245171,3.333819,0.000000,1.829823
LINE71,309.208926,-0.836518,306.063021,3.332334,261.249680,1.248880
LINE72,17.525542,-0.845738,0.000000,3.383746,0.000000,-1.543680
LINE73,17.525542,-0.845738,0.000000,3.383622,0.000000,-1.512881
LINE74,0.000000,2.012367,0.000000,2.936977,0.000000,1.729440
LINE75,0.000000,1.191522,0.000000,-0.254214,0.000000,-0.375279
LINE76,0.000000,-0.162938,0.000000,-1.350750,0.000000,1.567001
LINE77,0.000000,4.005996,17.245171,3.333819,0.000000,-1.523461
LINE78,309.208926,-0.836518,306.063021,3.332334,261.249680,1.248880
