# Output_case2\output_voltage_1.csv run at 2000-01-01 00:01:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,245.575352,-0.598862,242.102235,3.594915,246.931049,1.530501
Bus2,244.661251,-0.597795,241.081716,3.594815,246.711915,1.530525
Bus3,244.565436,-0.597683,240.974729,3.594804,246.688942,1.530527
Bus4,244.475676,-0.597578,240.874499,3.594794,246.667420,1.530530
Bus5,244.397420,-0.597486,240.787113,3.594786,246.648656,1.530532
Bus6,244.274140,-0.597341,240.649445,3.594772,246.619095,1.530535
Bus7,235.891820,-0.587128,231.275020,3.593805,244.606129,1.530755
Bus8,235.516986,-0.586653,230.855159,3.593760,244.515972,1.530765
Bus9,235.205045,-0.586257,230.505702,3.593723,244.440932,1.530773
Bus10,234.931323,-0.585909,230.199025,3.593689,244.375079,1.530780
Bus11,234.727093,-0.585648,229.970186,3.593665,244.325940,1.530786
Bus12,234.535385,-0.585403,229.755363,3.593641,244.279811,1.530791
Bus13,234.417510,-0.585252,229.623267,3.593627,244.251445,1.530794
Bus14,234.124076,-0.584876,229.294406,3.593591,244.180828,1.530802
Bus15,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus16,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus17,228.870177,-0.577970,223.399793,3.592931,242.915056,1.530942
Bus18,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus19,228.672273,-0.577703,223.177511,3.592905,242.867325,1.530948
Bus20,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus21,228.450069,-0.577403,222.927914,3.592876,242.813727,1.530954
Bus22,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus23,228.088320,-0.576913,222.521520,3.592829,242.726460,1.530963
Bus24,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus25,227.430352,-0.576019,221.782194,3.592743,242.567700,1.530981
Bus26,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus27,226.618709,-0.575138,221.784878,3.592691,242.576665,1.531013
Bus28,220.142843,-0.565372,212.416908,3.593562,240.260985,1.530025
Bus29,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus30,226.506965,-0.575017,221.785248,3.592684,242.577900,1.531018
Bus31,226.509788,-0.575020,221.785239,3.592684,242.577868,1.531018
Bus32,218.207176,-0.562418,209.923746,3.593792,239.646938,1.529767
Bus33,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus34,226.251076,-0.574738,221.786094,3.592667,242.580727,1.531028
Bus35,226.506099,-0.575016,221.785251,3.592684,242.577909,1.531018
Bus36,218.216765,-0.562381,209.070172,3.594795,239.649146,1.529715
Bus37,212.082269,-0.554288,203.209166,3.593603,237.720646,1.530515
Bus38,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus39,226.500796,-0.575010,221.785268,3.592683,242.577968,1.531018
Bus40,218.217100,-0.562379,209.040360,3.594830,239.649223,1.529714
Bus41,218.218277,-0.562375,208.935578,3.594953,239.649494,1.529707
Bus42,207.840640,-0.548365,198.549698,3.593464,236.384007,1.531041
Bus43,212.082269,-0.554288,203.209166,3.593603,237.720646,1.530515
Bus44,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus45,226.493994,-0.575003,221.785291,3.592683,242.578043,1.531018
Bus46,218.217251,-0.562379,209.026923,3.594846,239.649258,1.529713
Bus47,218.221916,-0.562361,208.611741,3.595336,239.650332,1.529688
Bus48,204.640436,-0.543726,195.028741,3.593355,235.374010,1.531443
Bus49,212.082269,-0.554288,203.209166,3.593603,237.720646,1.530515
Bus50,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus51,226.477430,-0.574985,221.785346,3.592682,242.578226,1.531019
Bus52,218.217411,-0.562378,209.012682,3.594862,239.649294,1.529712
Bus53,204.179401,-0.543046,194.521090,3.593339,235.228392,1.531501
Bus54,204.640436,-0.543726,195.028741,3.593355,235.374010,1.531443
Bus55,212.082269,-0.554288,203.209166,3.593603,237.720646,1.530515
Bus56,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
Bus57,226.463248,-0.574969,221.785393,3.592681,242.578382,1.531020
Bus58,218.217563,-0.562378,208.999119,3.594878,239.649330,1.529711
Bus59,202.092234,-0.539923,192.221567,3.593265,234.568791,1.531766
Bus60,204.640436,-0.543726,195.028741,3.593355,235.374010,1.531443
Bus61,212.082269,-0.554288,203.209166,3.593603,237.720646,1.530515
Bus62,231.748250,-0.581794,226.630367,3.593297,243.608772,1.530865
