# Output_case2_3p\output_current_1440.csv run at 2000-01-02 00:00:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
TR1,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
LINE1,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE2,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE3,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE4,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE5,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE6,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE7,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE8,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE9,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE10,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE11,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE12,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE13,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE14,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE15,0.000000,3.978831,0.000000,2.926672,0.000000,1.683658
LINE16,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE17,0.000000,3.116661,0.000000,2.773637,0.000000,1.762154
LINE18,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE19,0.000000,2.951512,0.000000,2.653013,0.000000,4.593980
LINE20,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE21,0.000000,2.736154,0.000000,2.473160,0.000000,4.667440
LINE22,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE23,0.000000,2.558061,0.000000,3.033520,0.000000,4.624066
LINE24,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE25,0.000000,3.116661,0.000000,3.314056,0.000000,4.585275
LINE26,1.599709,-0.841478,0.000000,-1.273841,0.000000,-1.535476
LINE27,9.925073,-0.841136,15.649325,3.347770,11.579056,1.252475
LINE28,0.000000,3.760162,0.000000,3.361639,0.000000,4.634771
LINE29,0.150359,-0.841488,0.000000,3.628147,0.000000,1.531443
LINE30,1.449350,-0.841478,0.000000,-1.291767,0.000000,-1.568899
LINE31,9.925073,-0.841136,15.649325,3.347770,11.579056,1.252475
LINE32,0.000000,4.687457,0.000000,3.427659,0.000000,4.545833
LINE33,0.150359,-0.841488,0.000000,-0.357061,0.000000,4.425903
LINE34,1.449350,-0.841478,0.000000,4.349624,0.000000,4.584709
LINE35,0.000000,1.176922,0.472362,3.347239,0.000000,1.332238
