# Output_case2_3p\output_voltage_566.csv run at 2000-01-01 09:26:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,248.859858,-0.553656,248.649501,3.639156,249.727545,1.550217
Bus2,248.467156,-0.553227,248.302962,3.639095,249.570793,1.550368
Bus3,248.425989,-0.553182,248.266632,3.639088,249.554360,1.550384
Bus4,248.387423,-0.553140,248.232597,3.639082,249.538965,1.550399
Bus5,248.353799,-0.553103,248.202923,3.639077,249.525543,1.550411
Bus6,248.300829,-0.553045,248.156176,3.639069,249.504398,1.550432
Bus7,244.695804,-0.549033,244.972899,3.638494,248.064751,1.551826
Bus8,244.534434,-0.548851,244.830326,3.638467,248.000283,1.551889
Bus9,244.400129,-0.548699,244.711661,3.638446,247.946625,1.551941
Bus10,244.282270,-0.548565,244.607523,3.638427,247.899537,1.551987
Bus11,244.194328,-0.548465,244.529816,3.638412,247.864401,1.552021
Bus12,244.111774,-0.548372,244.456869,3.638399,247.831417,1.552053
Bus13,244.061012,-0.548314,244.412013,3.638391,247.811135,1.552073
Bus14,243.934641,-0.548170,244.300341,3.638370,247.760642,1.552122
Bus15,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus16,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus17,241.670368,-0.545570,242.298708,3.637999,246.855688,1.553010
Bus18,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus19,241.585015,-0.545471,242.223227,3.637985,246.821566,1.553043
Bus20,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus21,241.489176,-0.545360,242.138472,3.637969,246.783251,1.553081
Bus22,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus23,241.333138,-0.545179,242.000473,3.637943,246.720868,1.553142
Bus24,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus25,241.049288,-0.544848,241.749420,3.637896,246.607381,1.553254
Bus26,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus27,240.638154,-0.544427,241.750693,3.637871,246.611890,1.553270
Bus28,237.972294,-0.541105,238.555499,3.638178,245.025753,1.554073
Bus29,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus30,240.581540,-0.544369,241.750868,3.637868,246.612511,1.553273
Bus31,240.582983,-0.544371,241.750864,3.637868,246.612495,1.553273
Bus32,237.153721,-0.540093,237.705229,3.638255,244.604726,1.554293
Bus33,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus34,240.451893,-0.544236,241.751270,3.637860,246.613933,1.553278
Bus35,240.581115,-0.544369,241.750870,3.637868,246.612516,1.553273
Bus36,237.158182,-0.540076,237.300883,3.638675,244.605883,1.554269
Bus37,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus38,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus39,240.578428,-0.544366,241.750878,3.637868,246.612545,1.553273
Bus40,237.158337,-0.540075,237.286760,3.638689,244.605924,1.554268
Bus41,237.158885,-0.540073,237.237117,3.638741,244.606066,1.554266
Bus42,232.741869,-0.535644,234.011377,3.638012,242.387442,1.556635
Bus43,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus44,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus45,240.574983,-0.544363,241.750889,3.637868,246.612583,1.553273
Bus46,237.158408,-0.540075,237.280394,3.638696,244.605942,1.554268
Bus47,237.160578,-0.540067,237.083688,3.638901,244.606505,1.554256
Bus48,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus49,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus50,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus51,240.566593,-0.544354,241.750915,3.637867,246.612675,1.553273
Bus52,237.158482,-0.540075,237.273648,3.638703,244.605961,1.554268
Bus53,231.180353,-0.534028,232.703043,3.637925,241.602418,1.557475
Bus54,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus55,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus56,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus57,240.559410,-0.544347,241.750937,3.637867,246.612754,1.553274
Bus58,237.158553,-0.540075,237.267223,3.638710,244.605980,1.554267
Bus59,230.289315,-0.533095,231.956247,3.637874,241.154404,1.557957
Bus60,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus61,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus62,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus63,240.524974,-0.544311,241.751044,3.637865,246.613131,1.553275
Bus64,237.158595,-0.540074,237.263375,3.638714,244.605991,1.554267
Bus65,230.136264,-0.532932,231.801466,3.637917,241.054023,1.558020
Bus66,229.687042,-0.532449,231.958216,3.637837,241.160966,1.557982
Bus67,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus68,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus69,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus70,240.403260,-0.544186,241.751421,3.637857,246.614466,1.553280
Bus71,237.158679,-0.540074,237.255825,3.638721,244.606012,1.554267
Bus72,228.328489,-0.530993,229.972813,3.638427,239.868135,1.558763
Bus73,229.539863,-0.532291,231.958697,3.637828,241.162570,1.557988
Bus74,229.539863,-0.532291,231.958697,3.637828,241.162570,1.557988
Bus75,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus76,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus77,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus78,237.159101,-0.540073,237.217563,3.638761,244.606122,1.554264
Bus79,227.698549,-0.530310,229.335406,3.638607,239.454796,1.559024
Bus80,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus81,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus82,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus83,237.160692,-0.540067,237.073388,3.638911,244.606534,1.554256
Bus84,227.561089,-0.530160,229.196303,3.638646,239.364594,1.559081
Bus85,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus86,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus87,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus88,227.282359,-0.529856,228.914227,3.638726,239.181681,1.559197
Bus89,231.377088,-0.534232,232.867908,3.637936,241.701331,1.557369
Bus90,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus91,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus92,227.019523,-0.529569,228.648217,3.638801,239.009189,1.559306
Bus93,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus94,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus95,226.866761,-0.529402,228.493603,3.638845,238.908931,1.559370
Bus96,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus97,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus98,226.765877,-0.529291,228.391492,3.638875,238.842718,1.559412
Bus99,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus100,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus101,226.626588,-0.529138,228.250506,3.638915,238.751299,1.559470
Bus102,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus103,242.911117,-0.547001,243.395714,3.638203,247.351631,1.552523
Bus104,226.626808,-0.529138,228.246629,3.638914,238.749094,1.559462
Bus105,226.532968,-0.529048,228.176779,3.638910,238.702090,1.559529
Bus106,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus107,226.627073,-0.529138,228.241937,3.638913,238.746427,1.559453
Bus108,226.479881,-0.528996,228.134972,3.638908,238.674187,1.559563
Bus109,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus110,226.627380,-0.529138,228.236500,3.638912,238.743335,1.559442
Bus111,224.385701,-0.526950,226.485385,3.638804,237.573415,1.560896
Bus112,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus113,226.627849,-0.529139,228.228209,3.638911,238.738622,1.559425
Bus114,224.175962,-0.526743,226.320132,3.638794,237.463165,1.561030
Bus115,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus116,226.628452,-0.529139,228.217551,3.638909,238.732562,1.559404
Bus117,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus118,223.537678,-0.526343,225.885547,3.638397,237.208384,1.561325
Bus119,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus120,226.628884,-0.529139,228.209899,3.638908,238.728211,1.559388
Bus121,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus122,224.174166,-0.526756,226.307503,3.638794,237.449604,1.561002
Bus123,222.386707,-0.525615,225.101919,3.637677,236.748972,1.561858
Bus124,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus125,226.629496,-0.529139,228.199087,3.638906,238.722064,1.559366
Bus126,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus127,224.171404,-0.526775,226.288076,3.638793,237.428744,1.560958
Bus128,221.869154,-0.525285,224.749561,3.637352,236.542396,1.562099
Bus129,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus130,226.630157,-0.529139,228.187389,3.638904,238.715414,1.559343
Bus131,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus132,224.028384,-0.526618,226.288555,3.638784,237.430298,1.560964
Bus133,224.205976,-0.526815,226.228149,3.638868,237.356556,1.560782
Bus134,221.715172,-0.525187,224.644729,3.637255,236.480937,1.562170
Bus135,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus136,226.630781,-0.529139,228.176358,3.638902,238.709142,1.559320
Bus137,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus138,224.016067,-0.526605,226.288596,3.638783,237.430431,1.560965
Bus139,224.231696,-0.526845,226.183567,3.638924,237.302858,1.560650
Bus140,221.541360,-0.525075,224.526397,3.637146,236.411563,1.562251
Bus141,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus142,226.631806,-0.529140,228.158219,3.638898,238.698831,1.559284
Bus143,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus144,224.003983,-0.526591,226.288636,3.638782,237.430563,1.560965
Bus145,224.248921,-0.526865,226.153712,3.638962,237.266900,1.560562
Bus146,221.377896,-0.524971,224.415110,3.637043,236.346320,1.562327
Bus147,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus148,226.636683,-0.529141,228.071976,3.638883,238.649807,1.559110
Bus149,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus150,223.994225,-0.526580,226.288669,3.638782,237.430669,1.560966
Bus151,224.252934,-0.526939,226.165825,3.639015,237.226935,1.560548
Bus152,224.253175,-0.526849,225.772065,3.639378,237.267964,1.560539
Bus153,221.187167,-0.524848,224.285263,3.636922,236.270195,1.562416
Bus154,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus155,226.637745,-0.529141,228.053189,3.638880,238.639128,1.559072
Bus156,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus157,223.979579,-0.526564,226.288718,3.638781,237.430828,1.560966
Bus158,224.263584,-0.527136,226.197953,3.639157,237.120946,1.560510
Bus159,224.253434,-0.526848,225.748837,3.639403,237.268028,1.560538
Bus160,221.132286,-0.524813,224.247901,3.636887,236.248291,1.562442
Bus161,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus162,226.642556,-0.529123,227.620925,3.639348,238.640339,1.559046
Bus163,226.632119,-0.529182,228.012848,3.638878,238.595760,1.558982
Bus164,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus165,223.961922,-0.526545,226.288777,3.638780,237.431020,1.560967
Bus166,224.267285,-0.527204,226.209114,3.639206,237.084131,1.560497
Bus167,224.253670,-0.526847,225.727617,3.639426,237.268087,1.560536
Bus168,220.820506,-0.524612,224.035645,3.636690,236.123852,1.562587
Bus169,234.548656,-0.537487,235.524592,3.638112,243.295609,1.555671
Bus170,226.643465,-0.529120,227.539269,3.639436,238.640568,1.559041
Bus171,226.624650,-0.529235,227.959291,3.638877,238.538187,1.558862
Bus172,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus173,223.948582,-0.526530,226.288821,3.638779,237.431165,1.560968
Bus174,224.267285,-0.527204,226.209114,3.639206,237.084131,1.560497
Bus175,224.268155,-0.527223,226.212324,3.639219,236.786072,1.560807
Bus176,224.253768,-0.526847,225.718802,3.639436,237.268112,1.560536
Bus177,220.644414,-0.524498,223.915766,3.636578,236.053571,1.562669
Bus178,226.645341,-0.529112,227.370801,3.639619,238.641040,1.559030
Bus179,226.622066,-0.529220,227.946276,3.638859,238.541645,1.558847
Bus180,226.625150,-0.529246,227.961133,3.638884,238.367341,1.559039
Bus181,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus182,223.933146,-0.526513,226.288873,3.638778,237.431332,1.560968
Bus183,224.267285,-0.527204,226.209114,3.639206,237.084131,1.560497
Bus184,224.268249,-0.527225,226.212671,3.639220,236.753883,1.560840
Bus185,224.253980,-0.526846,225.699801,3.639456,237.268165,1.560535
Bus186,220.513698,-0.524414,223.826778,3.636495,236.001400,1.562731
Bus187,226.611896,-0.529161,227.895061,3.638790,238.555254,1.558786
Bus188,226.627221,-0.529291,227.968756,3.638915,237.660325,1.559771
Bus189,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus190,223.918632,-0.526497,226.288921,3.638777,237.431490,1.560969
Bus191,224.267285,-0.527204,226.209114,3.639206,237.084131,1.560497
Bus192,224.267285,-0.527204,226.209114,3.639206,237.084131,1.560497
Bus193,224.268340,-0.527227,226.213007,3.639222,236.722747,1.560872
Bus194,224.254520,-0.526844,225.651407,3.639509,237.268300,1.560532
Bus195,220.396180,-0.524338,223.746775,3.636421,235.954497,1.562785
Bus196,226.593741,-0.529055,227.803621,3.638665,238.579554,1.558678
Bus197,226.627423,-0.529295,227.969501,3.638918,237.591248,1.559842
Bus198,226.627338,-0.529294,227.969187,3.638917,237.620393,1.559812
Bus199,224.174755,-0.526752,226.311639,3.638794,237.454045,1.561011
Bus200,223.903016,-0.526480,226.288974,3.638776,237.431660,1.560970
Bus201,224.267285,-0.527204,226.209114,3.639206,237.084131,1.560497
Bus202,224.267285,-0.527204,226.209114,3.639206,237.084131,1.560497
Bus203,224.268412,-0.527229,226.213275,3.639223,236.697842,1.560898
